place_holder,characteristics_1,characteristics_2,characteristics_3,gender,min_age,max_age,nation,name,File
PERSON_FIRSTNAME_1,classic drama training,married to acress PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,british actor,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,craig_928.txt
PERSON_FIRSTNAME_1,DATE_1,LOCATION_1,ORGANIZATION_1,unknown,30,40,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,craig_538.txt
,,,,,,,,,craig_188.txt
PERSON_FIRSTNAME_2,actor,married,graduated,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_3,craig_644.txt
PERSON_FIRSTNAME_1,talented,distinctive voice,eventful life,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,jagger_116.txt
PERSON_FIRSTNAME_1,singer,songwriter,award-winning,unknown,unknown,unknown,unknown,Taylor Swift,adele_61.txt
PERSON_FIRSTNAME_2,musician,front man,awards,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,jagger_487.txt
,,,,,,,,,craig_1078.txt
PERSON_FIRSTNAME_1,eponymous film series,looks and charm,best bond,unknown,unknown,unknown,unknown,Daniel Craig,craig_677.txt
PERSON_FIRSTNAME_1,incredible voice,moving balads,Grammy Awards,unknown,unknown,unknown,unknown,Adele,adele_43.txt
PERSON_FIRSTNAME_1,best known for playing OTHER_IDENTIFYING_ATTRIBUTE_3,nominated for a BAFTA award,an LOCATION_1 actor,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,craig_273.txt
PERSON_FIRSTNAME_1,singer,songwriter,producer,unknown,unknown,unknown,unknown,Mick Jagger,jagger_617.txt
PERSON_FIRSTNAME_7,LOCATION_1,DATE_2,OTHER_IDENTIFYING_ATTRIBUTE_1,unknown,unknown,unknown,unknown,Tom Hanks,craig_259.txt
PERSON_FIRSTNAME_1,piercing blue eyes,playing LOCATION_1 icon,not wanting to play OTHER_IDENTIFYING_ATTRIBUTE_1 anymore,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,craig_528.txt
PERSON_FIRSTNAME_1,snake hipped,big lipped,paging rock star,unknown,40,50,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_336.txt
PERSON_FIRSTNAME_1,singer,songwriter,richest musician,unknown,unknown,unknown,unknown,Adele,adele_491.txt
PERSON_FIRSTNAME_1,actor,intense eyes,great physique,unknown,unknown,unknown,unknown,unknown,craig_1017.txt
PERSON_FIRSTNAME_3,LOCATION_3,DATE_5,ORGANIZATION_3,unknown,unknown,unknown,unknown,Taylor Swift,adele_938.txt
PERSON_LASTNAME_1,self-confident,powerful,assertive,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,adele_691.txt
PERSON_FIRSTNAME_3,OTHER_IDENTIFYING_ATTRIBUTE_1,OTHER_IDENTIFYING_ATTRIBUTE_2,OTHER_IDENTIFYING_ATTRIBUTE_4,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_3,craig_832.txt
PERSON_FIRSTNAME_1,singer-songwriter,universal fame,numerous accolades,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,adele_1043.txt
PERSON_LASTNAME_1,soulful and powerful voice,famous hits,awards won,unknown,unknown,unknown,unknown,PERSON_LASTNAME_1,adele_741.txt
PERSON_FIRSTNAME_1,talented,voice from heaven,awarded an OTHER_IDENTIFYING_ATTRIBUTE_2 for PRONOUN services to popular music,unknown,unknown,unknown,unknown,Adele,adele_497.txt
PERSON_FIRSTNAME_1,legend of rock music,singer and frontman of a band,major influence in pop music,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_857.txt
,,,,,,,,,craig_908.txt
PERSON_FIRSTNAME_1,shaggy hair,loud but superb fashion choice,funny voice,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_1066.txt
PERSON_FIRSTNAME_2,LOCATION_1,NUMERIC_1,OTHER_IDENTIFYING_ATTRIBUTE_1,unknown,unknown,unknown,unknown,Adele,adele_876.txt
PERSON_FIRSTNAME_1,leading singer,rock group,most popular frontmen,unknown,unknown,unknown,unknown,Robert Plant,jagger_846.txt
PERSON_FIRSTNAME_1,lead singer,rock band,successful,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_208.txt
PERSON_FIRSTNAME_1,PERSON_FIRSTNAME_1,LOCATION_1,DATE_1,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,jagger_561.txt
,,,,,,,,,craig_873.txt
PERSON_FIRSTNAME_1,broken past relationships,weight loss,down to earth,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,adele_558.txt
PERSON_FIRSTNAME_3,performing in a band called the ORGANIZATION_1,known for PRONOUN charitable work,honored by the Queen and given knighthood,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_3,jagger_672.txt
PERSON_FIRSTNAME_1,front man of the ORGANIZATION_1,"singer, songwriter, actor, and film producer",lead vocalist and NUMERIC_1 of the founder members of the ORGANIZATION_1,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_101.txt
PERSON_FIRSTNAME_1,blonde hair,piercing blue eyes,actor,unknown,30,40,unknown,PERSON_FIRSTNAME_1,craig_98.txt
PERSON_FIRSTNAME_1,wild party lifestyle,dance moves,extravagant stage presence,unknown,30,40,unknown,Elvis Presley,jagger_402.txt
PERSON_FIRSTNAME_3,singer,songwriter,divorced,unknown,unknown,unknown,unknown,Adele,adele_718.txt
PERSON_FIRSTNAME,ORGANIZATION_1,PERSON_FIRSTNAME,PERSON_LASTNAME,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME,craig_493.txt
PERSON_FIRSTNAME_5,LOCATION_1,PERSON_FIRSTNAME_3,DATE_2,unknown,unknown,unknown,unknown,Tom Hanks,craig_698.txt
PERSON_FIRSTNAME_5,PERSON_LASTNAME_1,DATE_1,ORGANIZATION_1,unknown,unknown,unknown,unknown,John Smith,jagger_258.txt
PERSON_FIRSTNAME_1,singer,songwriter,actor,unknown,unknown,unknown,unknown,John Lennon,jagger_623.txt
PERSON_FIRSTNAME_2,rock legend,lead singer,charismatic stage presence,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,jagger_293.txt
PERSON_FIRSTNAME_1,PRONOUN role as PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,golden globe award nomination for best actor in OTHER_IDENTIFYING_ATTRIBUTE_2,"involvement in charity and work with various charities including comic relief, aids charities, or is international",unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,craig_378.txt
PERSON_FIRSTNAME_1,distinctive voice,MBE recipient,dramatic weight loss,female,unknown,unknown,unknown,PERSON_FIRSTNAME_1,adele_867.txt
PERSON_FIRSTNAME_3,DATE_1,NUMERIC_1,NUMERIC_9,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_3 PERSON_LASTNAME_2,adele_793.txt
PERSON_FIRSTNAME_1,singer,song writer,Emmys winner,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,adele_962.txt
PERSON_FIRSTNAME_1,blue eyes,nice smile,tall,unknown,late 20s,early 40s,unknown,PERSON_FIRSTNAME_3 PERSON_LASTNAME_1,craig_114.txt
PERSON_FIRSTNAME_1,piercing blue eyes,blond hair,suave accent,unknown,early fifties,unknown,unknown,unknown,craig_403.txt
PERSON_FIRSTNAME_1,stoic,funny,confident,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,craig_137.txt
PERSON_FIRSTNAME_1,british actor,married to the english actress,well known sort after actors in the uk,unknown,unknown,unknown,unknown,Daniel Craig,craig_10.txt
,,,,,,,,,jagger_52.txt
,,,,,,,,,adele_591.txt
PERSON_FIRSTNAME_2,fellow actor,married to another actress,from a city called LOCATION_5,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_3,craig_123.txt
PERSON_FIRSTNAME_3,singer,songwriter,charity work,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_3,adele_576.txt
PERSON_FIRSTNAME_1,partially melted wax work,sagging eyebrows,receding hair line,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,craig_332.txt
PERSON_FIRSTNAME_2,actor,rugby player,waiter,unknown,unknown,unknown,unknown,Daniel Craig,craig_879.txt
PERSON_FIRSTNAME_2,lead singer,father,actor,unknown,unknown,unknown,unknown,Mick Jagger,jagger_77.txt
PERSON_FIRSTNAME_2,male,actor,married,unknown,50,59,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_3,craig_476.txt
PERSON_FIRSTNAME_3 PERSON_LASTNAME_1,smouldering look,blonde hair,serious actor,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_3 PERSON_LASTNAME_1,craig_17.txt
,,,,,,,,,jagger_738.txt
PERSON_FIRSTNAME_1,LOCATION_1,NUMERIC_2,DATE_2,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,craig_819.txt
PERSON_FIRSTNAME_1,singer,songwriter,theme tune artist,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,adele_157.txt
PRONOUN,singer,member of ORGANIZATION_1,worked with PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,unknown,40,50,unknown,Mick Jagger,jagger_782.txt
PERSON_FIRSTNAME_1,rock star,unique sense of fashion,recognised for appearance,unknown,30,40,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_129.txt
PERSON_FIRSTNAME_1,NUMERIC_1,ORGANIZATION_1,NUMERIC_2,unknown,unknown,unknown,unknown,Mick Jagger,jagger_467.txt
PERSON_FIRSTNAME_1,record breaking,emotional and heart-felt music,A-list friends,unknown,thirty,NUMERIC_1,unknown,PERSON_FIRSTNAME_1,adele_607.txt
PERSON_FIRSTNAME_2,NUMERIC_3,LOCATION_1,OTHER_IDENTIFYING_ATTRIBUTE_1,unknown,30,40,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_3,craig_1005.txt
PERSON_FIRSTNAME_1,singer,lead singer of the rolling stones band,actor,unknown,unknown,unknown,UK,Mick Jagger,jagger_213.txt
PERSON_FIRSTNAME_2,OTHER_IDENTIFYING_ATTRIBUTE_5,OTHER_IDENTIFYING_ATTRIBUTE_3,OTHER_IDENTIFYING_ATTRIBUTE_1,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_3,craig_886.txt
PERSON_FIRSTNAME_2,talented singer-songwriter,famous fit school attendee,award-winning musician,unknown,unknown,unknown,unknown,Adele,adele_618.txt
PERSON_FIRSTNAME_1,singer,songwriter,MBE,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,adele_377.txt
PERSON_FIRSTNAME_1,singer,actor,songwriter,unknown,60,70,unknown,Elvis Presley,jagger_582.txt
PERSON_FIRSTNAME_1,PRONOUN,NUMERIC_4 years old,DATE_1 till now,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,craig_393.txt
PERSON_FIRSTNAME_3,singer,songwriter,award winner,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_3,adele_1048.txt
PERSON_FIRSTNAME_1,white male,privileged background,married to fellow actress,male,30,40,unknown,PERSON_FIRSTNAME_1,craig_469.txt
,,,,,,,,,jagger_277.txt
PERSON_FIRSTNAME_1,world wide celebrity,quirky personality,beautiful voice,unknown,30,40,unknown,Taylor Swift,adele_667.txt
PERSON_FIRSTNAME_1,athletic,handsome,talented,unknown,unknown,unknown,unknown,PERSON_FIRSTNAME_1,craig_381.txt
PERSON_FIRSTNAME_2,British singer,Supportive of LGBT community,Major contributor to charity,unknown,unknown,unknown,unknown,Adele,adele_201.txt
PERSON_LASTNAME_1,beautiful,voice of an angel,best selling artist,unknown,unknown,unknown,unknown,PERSON_LASTNAME_1,adele_547.txt
