name,File,Persona,is_reidentified
Mick Jagger,jagger_213.txt,jagger,True
UNKNOWN,jagger_241.txt,jagger,False
UNKNOWN,jagger_258.txt,jagger,False
UNKNOWN,jagger_262.txt,jagger,False
,jagger_277.txt,jagger,False
UNKNOWN,jagger_286.txt,jagger,False
UNKNOWN,jagger_293.txt,jagger,False
UNKNOWN,jagger_296.txt,jagger,False
UNKNOWN,jagger_322.txt,jagger,False
UNKNOWN,jagger_336.txt,jagger,False
UNKNOWN,jagger_376.txt,jagger,False
UNKNOWN,jagger_392.txt,jagger,False
Mick Jagger,jagger_402.txt,jagger,True
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_42.txt,jagger,False
UNKNOWN,jagger_422.txt,jagger,False
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,jagger_441.txt,jagger,False
UNKNOWN,jagger_458.txt,jagger,False
Mick Jagger,jagger_467.txt,jagger,True
PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,jagger_487.txt,jagger,False
UNKNOWN,jagger_496.txt,jagger,False
UNKNOWN,jagger_513.txt,jagger,False
UNKNOWN,jagger_52.txt,jagger,False
UNKNOWN,jagger_557.txt,jagger,False
UNKNOWN,jagger_561.txt,jagger,False
UNKNOWN,jagger_567.txt,jagger,False
Elton John,jagger_582.txt,jagger,False
UNKNOWN,jagger_617.txt,jagger,False
UNKNOWN,jagger_623.txt,jagger,False
UNKNOWN,jagger_672.txt,jagger,False
Mick Jagger,jagger_701.txt,jagger,True
,jagger_711.txt,jagger,False
UNKNOWN,jagger_738.txt,jagger,False
Mick Jagger,jagger_77.txt,jagger,True
PERSON_LASTNAME_1,jagger_771.txt,jagger,False
Mick Jagger,jagger_782.txt,jagger,True
UNKNOWN,jagger_792.txt,jagger,False
UNKNOWN,jagger_846.txt,jagger,False
UNKNOWN,jagger_857.txt,jagger,False
UNKNOWN,jagger_897.txt,jagger,False
UNKNOWN,jagger_917.txt,jagger,False
UNKNOWN,jagger_96.txt,jagger,False
UNKNOWN,jagger_984.txt,jagger,False
