personas_1,personas_2,personas_3,score_1,score_2,score_3,File
John Doe,Jane Smith,Michael Johnson,0.8,0.6,0.7,jagger_487.txt
Tom Cruise,Brad Pitt,Leonardo DiCaprio,0.8,0.7,0.6,craig_1078.txt
Daniel Craig,Emma Watson,Tom Hanks,0.8,0.6,0.7,craig_677.txt
Adele,Alicia Keys,Sam Smith,0.9,0.8,0.7,adele_43.txt
Tom Hanks,Jennifer Lawrence,Leonardo DiCaprio,0.9,0.8,0.7,craig_273.txt
Mick Jagger,Keith Richards,Ronnie Wood,0.9,0.8,0.7,jagger_617.txt
Tom Hanks,Brad Pitt,Leonardo DiCaprio,0.8,0.6,0.7,craig_259.txt
Brad Pitt,Angelina Jolie,Tom Cruise,0.8,0.7,0.6,craig_528.txt
Mick Jagger,Keith Richards,Steven Tyler,0.8,0.7,0.6,jagger_336.txt
Adele,Taylor Swift,Beyoncé,0.8,0.6,0.7,adele_491.txt
Tom Cruise,Chris Hemsworth,Robert Downey Jr.,0.8,0.7,0.6,craig_1017.txt
PERSON_FIRSTNAME_3,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,0.9,0.7,0.6,adele_938.txt
John Smith,Emily Johnson,Michael Brown,0.8,0.6,0.7,adele_691.txt
PERSON_FIRSTNAME_2 PERSON_LASTNAME_3,PERSON_FIRSTNAME_3 OTHER_IDENTIFYING_ATTRIBUTE_1,PERSON_FIRSTNAME_4 PERSON_LASTNAME_2,0.9,0.8,0.7,craig_832.txt
Taylor Swift,Adele,Ed Sheeran,0.9,0.8,0.7,adele_1043.txt
PERSON_LASTNAME_1,LOCATION_2 musician,PRONOUN,0.8,0.6,0.9,adele_741.txt
Adele,Beyonce,Ariana Grande,0.8,0.6,0.7,adele_497.txt
Mick Jagger,Keith Richards,David Bowie,0.9,0.8,0.7,jagger_857.txt
Daniel Craig,Rachel Weisz,Liverpool Football Club Fan,0.9,0.8,0.7,craig_908.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,PRONOUN,0.8,0.7,0.6,jagger_1066.txt
Adele,London,21,0.9,0.8,0.7,adele_876.txt
Freddie Mercury,Robert Plant,Mick Jagger,0.9,0.8,0.7,jagger_846.txt
Mick Jagger,The Rolling Stones,Keith Richards,0.9,0.8,0.7,jagger_208.txt
John Smith,Emma Johnson,Michael Davis,0.8,0.6,0.7,jagger_561.txt
Tom Hanks,Brad Pitt,Leonardo DiCaprio,0.8,0.6,0.7,craig_873.txt
PERSON_FIRSTNAME_1,PRONOUN,LOCATION_2,0.8,0.6,0.7,adele_558.txt
John Smith,Emma Thompson,Michael Jackson,0.8,0.6,0.9,jagger_672.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,PERSON_FIRSTNAME_3 PERSON_LASTNAME_2,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,0.9,0.8,0.7,jagger_101.txt
Tom,Chris,Michael,0.9,0.8,0.7,craig_98.txt
Mick Jagger,Keith Richards,David Bowie,0.9,0.8,0.7,jagger_402.txt
Adele,John Doe,Taylor Swift,0.9,0.3,0.7,adele_718.txt
John Smith,Sarah Johnson,Michael Brown,0.8,0.6,0.7,craig_493.txt
,,,,,,craig_698.txt
John Smith,Emma Johnson,Michael Brown,0.8,0.6,0.7,jagger_258.txt
John,London,The Beatles,0.9,0.8,0.7,jagger_623.txt
Elvis Presley,Mick Jagger,David Bowie,0.9,0.8,0.7,jagger_293.txt
Tom Hanks,Brad Pitt,Leonardo DiCaprio,0.8,0.7,0.6,craig_378.txt
Adele,Beyonce,Ariana Grande,0.8,0.6,0.7,adele_867.txt
Taylor Swift,Adele,Beyonce,0.9,0.8,0.7,adele_793.txt
Adele,Sam Smith,Sia,0.8,0.6,0.7,adele_962.txt
Tom Cruise,Brad Pitt,Leonardo DiCaprio,0.9,0.8,0.7,craig_114.txt
Tom Cruise,Brad Pitt,George Clooney,0.8,0.7,0.6,craig_403.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,PRONOUN,0.8,0.9,0.7,craig_137.txt
Daniel Craig,Rachel Weisz,Pierce Brosnan,0.9,0.8,0.7,craig_10.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,PERSON_FIRSTNAME_3,0.9,0.8,0.7,jagger_52.txt
Adele,Amy,Taylor,0.9,0.7,0.6,adele_591.txt
Tom Hanks,Jennifer Lawrence,Chris Hemsworth,0.8,0.6,0.7,craig_123.txt
Adele,Taylor Swift,Ed Sheeran,0.9,0.8,0.7,adele_576.txt
John,Michael,David,0.8,0.6,0.7,craig_332.txt
Tom Hardy,Daniel Craig,Idris Elba,0.9,0.8,0.7,craig_879.txt
Mick Jagger,Keith Richards,Brian Jones,0.9,0.8,0.7,jagger_77.txt
Tom Cruise,Brad Pitt,Leonardo DiCaprio,0.8,0.6,0.7,craig_476.txt
PERSON_FIRSTNAME_3 PERSON_LASTNAME_1,PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,PERSON_FIRSTNAME_2 PERSON_LASTNAME_3,0.8,0.7,0.6,craig_17.txt
,,,,,,jagger_738.txt
Tom Hanks,Johnny Depp,Leonardo DiCaprio,0.8,0.6,0.7,craig_819.txt
Taylor Swift,Adele,Ed Sheeran,0.8,0.6,0.7,adele_157.txt
Mick Jagger,Keith Richards,Ronnie Wood,0.9,0.8,0.7,jagger_782.txt
Justin Bieber,Mick Jagger,Beyonce,0.8,0.6,0.7,jagger_129.txt
Mick Jagger,The Rolling Stones,Rockstar,0.9,0.8,0.7,jagger_467.txt
Taylor Swift,Adele,Beyonce,0.9,0.8,0.7,adele_607.txt
Daniel Craig,James Bond,007,0.9,0.8,0.7,craig_1005.txt
Mick Jagger,Jerry Hall,Keith Richards,0.9,0.8,0.7,jagger_213.txt
Tom Cruise,Daniel Craig,Angelina Jolie,0.8,0.6,0.7,craig_886.txt
Adele,Taylor Swift,Ed Sheeran,0.9,0.7,0.6,adele_618.txt
Adele,Ed Sheeran,Taylor Swift,0.8,0.6,0.7,adele_377.txt
Elvis Presley,Mick Jagger,Bruce Springsteen,0.8,0.7,0.6,jagger_582.txt
Daniel Radcliffe,Emma Watson,Rupert Grint,0.9,0.8,0.7,craig_393.txt
Taylor Swift,Adele,Ed Sheeran,0.8,0.7,0.6,adele_1048.txt
Daniel Craig,Tom Hardy,Jude Law,0.9,0.7,0.6,craig_469.txt
Elton John,Mick Jagger,Bruce Springsteen,0.9,0.7,0.6,jagger_277.txt
Taylor Swift,Adele,Lady Gaga,0.9,0.8,0.7,adele_667.txt
,,,,,,craig_381.txt
Adele,Ed Sheeran,Sam Smith,0.9,0.7,0.6,adele_201.txt
Adele,Taylor Swift,Beyonce,0.9,0.8,0.7,adele_547.txt
